Order Number;Supplier Number;Supplier;Product Article Number;Ordered Product;Ordered Product - Supplement;Original Ordered Quantity;Original Desired Date;Planned Delivery Date;Ordered Quantity;Arrival Date;Delivered Quantity
8111867;70722;42986849;493400092233402;Beilage 30x10x157;Rechteckprofil-Flat 30x10;52.0;2023-06-05;2023-06-05;52.0;2023-06-02T00:00:00.000;52.0
8111867;70722;42986849;423400092225700;Isolierplatte 8x280x330;Tfl [NUM],[NUM] (weiss) [CODE];1.0;2023-06-05;2023-06-05;1.0;2023-06-02T00:00:00.000;1.0
8111867;70722;42986849;;"";"";;;2023-06-05;0.0;2023-06-06T00:00:00.000;0.0
8111868;71066;82882255;422400044024500;Anschlusskasten, Bohrbild;Z: [NUM] [NUM]-[NUM] Rev.[NUM];1.0;2023-05-15;2023-05-15;1.0;2023-05-15T00:00:00.000;1.0
8111868;71066;82882255;422400044022000;Anschlusskasten klein, Bohrplan;Z: [NUM] [NUM]-[NUM] Rev.[NUM];1.0;2023-06-12;2023-06-12;1.0;2023-06-08T00:00:00.000;1.0
8111869;71401;73939515;423308000004400;Radialventilator [CODE]-2DK.3F.1R;"[CODE] ; 3Phasen ; [NUM]-400V ; 50Hz ; AC";1.0;2023-07-17;2023-07-17;1.0;2023-07-24T00:00:00.000;1.0
8111869;71401;73939515;423308000004500;Einlaufdüse [CODE]-[NUM]-A;Zg-Nr.: L-AL-[NUM]/[NUM].[NUM];1.0;2023-07-17;2023-07-17;1.0;2023-07-24T00:00:00.000;1.0
8111869;71401;73939515;;"";"";;;2023-07-17;0.0;2023-07-24T00:00:00.000;0.0
8111870;71663;81746251;42530L076083500;Deckplatte;Bl [NUM],[NUM] -DIN EN [NUM]-[CODE] ([NUM].[NUM]);1.0;2023-07-17;2023-07-17;1.0;2023-10-04T00:00:00.000;1.0
8111870;71663;81746251;42530L076082701;Seitenwand;Bl [NUM],[NUM] -ISO [NUM]-[NUM] (EN [NUM]);1.0;2023-07-17;2023-07-17;1.0;2023-10-04T00:00:00.000;1.0
8111870;71663;81746251;42530L076082702;Seitenwand;Bl [NUM],[NUM] -ISO [NUM]-[NUM] (EN [NUM]);1.0;2023-07-17;2023-07-17;1.0;2023-10-04T00:00:00.000;1.0
8111871;70722;42986849;423400920300199;Unterlage [NUM],51x38x190;Band [NUM],51x914;68.0;2023-06-19;2023-06-19;68.0;2023-06-26T00:00:00.000;68.0
8111872;71644;29057960;226400000003800;Hand-Stretchfolie;500mm , 17µ;24.0;2023-04-24;2023-04-24;24.0;2023-04-24T00:00:00.000;24.0
8111873;71580;72000481;405020000684501;KS Tools [NUM].[NUM];Einmaulschlüssel;1.0;2023-05-01;2023-05-01;1.0;2023-05-05T00:00:00.000;1.0
8111874;70722;42986849;423400092035844;Unterlage [NUM],76x70x240;Band [NUM],76x914-Nomex [NUM] PA-P;410.0;2023-06-19;2023-06-19;410.0;2023-06-26T00:00:00.000;410.0
8111875;72194;17928776;422408020732000;Isolierstützer;SGA [NUM]  [CODE]/[CODE]   [CODE]-2xM6 / [CODE];160.0;2023-09-13;2023-09-13;160.0;2023-09-11T00:00:00.000;160.0
8111876;71294;499316;420210021016603;Einph.-Kern UI [NUM]/[NUM];"St: [NUM] [NUM] [CODE] ; Z: [NUM] [NUM]-[NUM] Rev.C";20.0;2023-06-19;2023-06-19;20.0;2023-06-28T00:00:00.000;20.0
8111876;71294;499316;420210021016603;Einph.-Kern UI [NUM]/[NUM];"St: [NUM] [NUM] [CODE] ; Z: [NUM] [NUM]-[NUM] Rev.C";20.0;2023-08-21;2023-08-21;20.0;2023-08-29T00:00:00.000;20.0
8111876;71294;499316;420210021016603;Einph.-Kern UI [NUM]/[NUM];"St: [NUM] [NUM] [CODE] ; Z: [NUM] [NUM]-[NUM] Rev.C";24.0;2023-10-02;2023-10-02;24.0;2023-10-05T00:00:00.000;24.0
8111876;71294;499316;420210021016603;Einph.-Kern UI [NUM]/[NUM];"St: [NUM] [NUM] [CODE] ; Z: [NUM] [NUM]-[NUM] Rev.C";20.0;2023-12-04;2023-12-04;20.0;2023-12-13T00:00:00.000;20.0
8111876;71294;499316;420210021016603;Einph.-Kern UI [NUM]/[NUM];"St: [NUM] [NUM] [CODE] ; Z: [NUM] [NUM]-[NUM] Rev.C";20.0;2024-03-04;2024-03-04;20.0;2024-03-12T00:00:00.000;20.0
8111876;71294;499316;425300110150700;Montagesatz für [CODE];[PART] 85b (ohne Spannbänder);20.0;2023-06-19;2023-06-19;20.0;2023-06-23T00:00:00.000;20.0
8111876;71294;499316;;"";"";;;2022-08-29;0.0;2024-03-12T00:00:00.000;0.0
